Date,Open,High,Low,Close,Volume
2010-01-04,2294.41,2311.15,2294.41,2308.42,1796183400
2010-01-05,2307.27,2313.73,2295.62,2308.71,2202109800
2010-01-06,2307.71,2314.07,2295.68,2301.09,2095606200
2010-01-07,2298.09,2301.3,2285.22,2300.05,2111146500
2010-01-08,2292.24,2317.6,2290.61,2317.17,1995212700
2010-01-11,2324.78,2326.28,2302.21,2312.41,1932437700
2010-01-12,2297.28,2298.85,2272.7,2282.31,2202537600
2010-01-13,2289.46,2313.03,2274.12,2307.9,2156065500
2010-01-14,2303.31,2322.56,2303.29,2316.74,2096378100
2010-01-15,2316.98,2322.54,2279.2,2287.99,2453126100
2010-01-19,2291.02,2320.4,2290.68,2320.4,1902119700
2010-01-20,2304.31,2304.47,2268.68,2291.25,2187257700
2010-01-21,2298.23,2308.98,2259.82,2265.7,2676354000
2010-01-22,2255.76,2262.27,2200.37,2205.29,2620386600
2010-01-25,2220.29,2223.22,2201.17,2210.8,1984945500
2010-01-26,2203.44,2227.89,2195.44,2203.73,2195971800
2010-01-27,2200.3,2225.67,2192.59,2221.41,2318378400
2010-01-28,2220.31,2220.87,2166.9,2179,2631565200
2010-01-29,2198.26,2202.84,2140.34,2147.35,2874239400
2010-02-01,2155.81,2171.2,2152.26,2171.2,2077750200
2010-02-02,2171.66,2193.66,2161.47,2190.06,2295677100
2010-02-03,2181.01,2194.53,2176.75,2190.91,2142115500
2010-02-04,2176.39,2178.25,2125.43,2125.43,2605292700
2010-02-05,2131.92,2142.27,2100.17,2141.12,2614323000
2010-02-08,2140.1,2152.64,2125.11,2126.05,1893740400
2010-02-09,2153.1,2166.16,2132.58,2150.87,2135670600
2010-02-10,2147.46,2156.36,2131.08,2147.87,1915744200
2010-02-11,2145.09,2179.54,2134.14,2177.41,1991371800
2010-02-12,2157.69,2184.57,2151.99,2183.53,2079647400
2010-02-16,2200.38,2214.19,2189.18,2214.19,1927750500
2010-02-17,2222.87,2226.32,2212.78,2226.29,1956282900
2010-02-18,2223.22,2243.5,2221.14,2241.71,1931442600
2010-02-19,2233.33,2249.8,2228.93,2243.87,2014993800
2010-02-22,2250.92,2251.68,2235.65,2242.03,1837949700
2010-02-23,2238.01,2239.8,2205.7,2213.44,2149146300
2010-02-24,2222.4,2241.69,2221.28,2235.9,2004903300
2010-02-25,2208.62,2236.21,2198.73,2234.22,2139492900
2010-02-26,2234.44,2242.83,2222.23,2238.26,2123589900
2010-03-01,2247.4,2274.02,2247.33,2273.57,2329594200
2010-03-02,2279.07,2292.49,2275.35,2280.79,2633639100
2010-03-03,2284.82,2293.32,2275.25,2280.68,2421264300
2010-03-04,2282.57,2293.16,2273.63,2292.31,2032998600
2010-03-05,2304.01,2327.03,2301.1,2326.35,2243048400
2010-03-08,2326.25,2335.43,2326.11,2332.21,2150448300
2010-03-09,2325.78,2353.07,2325.74,2340.68,2436934800
2010-03-10,2340.95,2361.66,2340.69,2358.95,2375908200
2010-03-11,2351.11,2368.46,2347.53,2368.46,2098814700
2010-03-12,2376.07,2376.28,2358.08,2367.66,1951865400
2010-03-15,2361.92,2367.4,2345.99,2362.21,1819238100
2010-03-16,2367.32,2378.84,2360.67,2378.01,2047748400
2010-03-17,2381.65,2400.09,2381.47,2389.09,2121711300
2010-03-18,2387.54,2393.87,2383.26,2391.28,2020945800
2010-03-19,2391.2,2396.92,2364.53,2374.41,2841856800
2010-03-22,2360.35,2401.21,2358,2395.4,2276760900
2010-03-23,2397.9,2416.51,2390.04,2415.24,2292663900
2010-03-24,2406.72,2408.64,2396.92,2398.76,2265573000
2010-03-25,2415.24,2432.25,2397.36,2397.41,2515529100
2010-03-26,2406.73,2412.92,2384.69,2395.13,2202174900
2010-03-29,2403.77,2411.18,2398.4,2404.36,1830100500
2010-03-30,2406.69,2417.36,2395.8,2410.69,1996961100
2010-03-31,2402.98,2415.44,2395.34,2397.96,2202881700
2010-04-01,2411.68,2423.43,2383.77,2402.58,2176451100
2010-04-05,2409.48,2429.61,2403.88,2429.53,1981216200
2010-04-06,2420.33,2443.5,2417.77,2436.81,2064962700
2010-04-07,2433.1,2442.27,2418.73,2431.16,2775910500
2010-04-08,2423.99,2441.12,2413.74,2436.81,2258877000
2010-04-09,2441.31,2454.11,2432.94,2454.05,2060442900
2010-04-12,2455.4,2463.17,2450.15,2457.87,2010334500
2010-04-13,2454.95,2467.94,2445.26,2465.99,2478840600
2010-04-14,2481.8,2504.86,2480.43,2504.86,2923241100
2010-04-15,2503.41,2517.82,2502.51,2515.69,2641813800
2010-04-16,2505.38,2510.06,2467.68,2481.26,2753683500
2010-04-19,2477.8,2487.67,2451.72,2480.11,2067994500
2010-04-20,2492.72,2501.25,2480.7,2500.31,2006103000
2010-04-21,2506.61,2510.5,2490.19,2504.61,2525787000
2010-04-22,2483.52,2521.02,2468.26,2519.07,2604781200
2010-04-23,2514.85,2530.15,2507.6,2530.15,2340819300
2010-04-26,2529.85,2535.28,2521.51,2522.95,2316667200
2010-04-27,2512.58,2525.7,2466.53,2471.47,2664273300
2010-04-28,2483.03,2484.15,2456.63,2471.73,2562326700
2010-04-29,2487.33,2513.69,2483.5,2511.92,2854765200
2010-04-30,2509.99,2514.37,2461.09,2461.19,2642250900
2010-05-03,2472.32,2503,2472.32,2498.74,2230484100
2010-05-04,2465.55,2465.55,2411.28,2424.25,2838908700
2010-05-05,2395.21,2421.05,2382.07,2402.29,2828576400
2010-05-06,2391.21,2407.79,2185.75,2319.64,4234848000
2010-05-07,2308.71,2330.65,2228.06,2265.64,3931779600
2010-05-10,2365.97,2379.87,2349.4,2374.67,2670774000
2010-05-11,2347.7,2405.26,2345.5,2375.31,2370421200
2010-05-12,2388.64,2426.47,2384.69,2425.02,2187267000
